X,Y,Z0,Z1,Z2
23482.75,26984.0,268.23,768.23,1268.23
6865.75,19823.25,375.25,875.25,1375.25
18463.5,8934.75,546.29,1046.29,1546.29
8117.75,5173.25,525.0799999999999,1025.08,1525.08
28189.0,21677.25,204.67000000000007,704.6700000000001,1204.67
16898.75,27310.75,229.29,729.29,1229.29
29152.75,11397.5,388.8599999999999,888.8599999999999,1388.86
2892.0,20091.0,441.44000000000005,941.44,1441.44
16400.25,10892.5,483.75,983.75,1483.75
7110.0,22039.0,272.8900000000001,772.8900000000001,1272.89
34912.25,14424.75,351.81999999999994,851.8199999999999,1351.82
34861.25,30559.5,156.56999999999994,656.5699999999999,1156.57
22605.5,15298.0,237.8599999999999,737.8599999999999,1237.86
21684.25,29687.25,211.81999999999996,711.8199999999999,1211.82
26058.75,20070.75,201.17000000000007,701.1700000000001,1201.17
17924.5,30095.75,225.5,725.5,1225.5
31789.75,21444.75,317.8299999999999,817.8299999999999,1317.83
23068.75,19609.75,242.6400000000001,742.6400000000001,1242.64
21212.5,26999.25,203.32999999999996,703.3299999999999,1203.33
13818.75,30711.5,264.29999999999995,764.3,1264.3
24154.0,30266.25,241.81999999999996,741.8199999999999,1241.82
34899.5,8926.5,275.0,775.0,1275.0
28679.25,4131.75,240.0,740.0,1240.0
30442.25,24993.0,214.32999999999996,714.3299999999999,1214.33
25433.0,20379.0,214.29,714.29,1214.29
11971.0,12616.5,455.8900000000001,955.8900000000001,1455.89
18065.0,4623.5,538.3299999999999,1038.33,1538.33
8607.0,26145.25,276.1400000000001,776.1400000000001,1276.14
22212.75,29465.75,244.29,744.29,1244.29
9564.0,19714.5,272.1500000000001,772.1500000000001,1272.15
19145.75,13344.5,296.22,796.22,1296.22
31820.25,20768.0,321.1300000000001,821.1300000000001,1321.13
6172.0,20243.25,397.5999999999999,897.5999999999999,1397.6
31051.5,12591.5,326.5,826.5,1326.5
11252.0,6613.75,431.0,931.0,1431.0
7050.5,30464.5,302.18000000000006,802.1800000000001,1302.18
26636.25,25560.5,270.5,770.5,1270.5
